site_ID,COUNT,AREA,MEAN
456_295,17312.000000000000000,15580799.999999988824129,1157.783139772643153
272_230,18144.000000000000000,16329599.999999986961484,682.864821137153399
136_567,17609.000000000000000,15848099.999999988824129,1178.289635251805748
269_602,17144.000000000000000,15429599.999999988824129,1091.384217401558772
269_427,15179.000000000000000,13661099.999999988824129,1163.402376756594549
317_241,16714.000000000000000,15042599.999999988824129,1181.886640272313343
633_705,16407.000000000000000,14766299.999999988824129,1328.074146283543541
465_500,14727.000000000000000,13254299.999999990686774,1014.336759156832500
458_298,17712.000000000000000,15940799.999999988824129,1270.502317816260984
603_695,17715.000000000000000,15943499.999999988824129,1069.509909913796491
515_316,16675.000000000000000,15007499.999999988824129,1281.641078030015933
310_443,17747.000000000000000,15972299.999999988824129,1283.581741484331587
170_175,16126.000000000000000,14513399.999999988824129,1220.019163116333175
362_460,16066.000000000000000,14459399.999999988824129,1153.431587914460351
554_110,14237.000000000000000,12813299.999999990686774,1311.636691219982822
512_311,17222.000000000000000,15499799.999999988824129,1358.783561673760687
609_112,9284.000000000000000,8355599.999999993480742,689.714308397259174
357_74,17424.000000000000000,15681599.999999988824129,768.645718091119306
242_595,13935.000000000000000,12541499.999999990686774,1006.434217270002932
412_635,17355.000000000000000,15619499.999999988824129,1587.512485715380990
238_55,17563.000000000000000,15806699.999999988824129,801.307857772982402
505_317,16903.000000000000000,15212699.999999988824129,1471.432068817150366
645_710,16568.000000000000000,14911199.999999988824129,1655.566558475487909
747_21,14215.000000000000000,12793499.999999990686774,969.077059188342560
505_307,17659.000000000000000,15893099.999999988824129,1698.086526410278566
39_380,9693.000000000000000,8723699.999999992549419,1894.650181552198092
553_518,17203.000000000000000,15482699.999999988824129,1239.360504524698172
606_363,13210.000000000000000,11888999.999999990686774,734.648726208763833
235_415,17983.000000000000000,16184699.999999986961484,1145.535357695204084
65_142,14340.000000000000000,12905999.999999990686774,908.326826599422247
141_122,14977.000000000000000,13479299.999999990686774,952.378812035103124
646_539,16711.000000000000000,15039899.999999988824129,1645.201986322340645
607_698,16370.000000000000000,14732999.999999988824129,807.222257877226411
556_521,17748.000000000000000,15973199.999999988824129,1711.519087049696282
414_88,15530.000000000000000,13976999.999999988824129,1026.180019847823587
362_456,16986.000000000000000,15287399.999999988824129,1092.735973185230478
355_469,16302.000000000000000,14671799.999999988824129,1456.806248632679171
270_7,17956.000000000000000,16160399.999999986961484,1322.450214439523961
511_512,17813.000000000000000,16031699.999999986961484,1387.249881082867660
413_269,17054.000000000000000,15348599.999999988824129,1323.888888881928779
353_266,16022.000000000000000,14419799.999999988824129,1329.826532502701639
458_97,17290.000000000000000,15560999.999999988824129,1403.842031902712279
353_260,17618.000000000000000,15856199.999999988824129,1487.118318150894993
456_290,17496.000000000000000,15746399.999999988824129,1173.317434497547310
404_623,18099.000000000000000,16289099.999999986961484,1050.340305607637220
316_244,16404.000000000000000,14763599.999999988824129,1339.980610054720046
363_466,15038.000000000000000,13534199.999999988824129,1466.556203240201285
656_713,13166.000000000000000,11849399.999999990686774,1681.904642268807038
364_470,17580.000000000000000,15821999.999999988824129,1773.550353374849010
458_294,17504.000000000000000,15753599.999999988824129,1351.597634190833105
451_296,13408.000000000000000,12067199.999999990686774,1560.013213913312029
106_40,14520.000000000000000,13067999.999999990686774,1949.525757551057268
320_455,17180.000000000000000,15461999.999999988824129,1194.398301981881559
85_31,17103.000000000000000,15392699.999999988824129,1447.563827666317138
505_101,17441.000000000000000,15696899.999999988824129,1607.166407705273741
278_226,15734.000000000000000,14160599.999999988824129,1477.858915400503065
279_600,16875.000000000000000,15187499.999999988824129,1200.075091403535907
553_687,17348.000000000000000,15613199.999999988824129,1316.161785043932696
461_651,16561.000000000000000,14904899.999999988824129,1519.284659658924966
138_566,17256.000000000000000,15530399.999999988824129,1130.873425362114176
605_554,17993.000000000000000,16193699.999999986961484,1385.016860497187508
237_206,16948.000000000000000,15253199.999999988824129,917.109405233973007
168_174,17789.000000000000000,16010099.999999986961484,1098.857990243660879
400_637,16705.000000000000000,15034499.999999988824129,1488.155971439182849
608_114,15008.000000000000000,13507199.999999990686774,716.936266580878851
734_137,14781.000000000000000,13302899.999999990686774,916.517073770454886
318_238,13313.000000000000000,11981699.999999990686774,1226.178041915303993
455_508,17601.000000000000000,15840899.999999988824129,1240.365586630142843
408_87,15849.000000000000000,14264099.999999988824129,1442.540603456694953
455_655,17559.000000000000000,15803099.999999988824129,1190.499875206240631
645_562,16560.000000000000000,14903999.999999988824129,1635.377486672151008
321_240,17144.000000000000000,15429599.999999988824129,1241.560604528905969
554_348,14602.000000000000000,13141799.999999990686774,1266.011194132207947
352_264,16386.000000000000000,14747399.999999988824129,1203.953976404764944
171_582,16436.000000000000000,14792399.999999988824129,1152.605436260552551
275_5,16326.000000000000000,14693399.999999988824129,924.218563551355828
241_210,16237.000000000000000,14613299.999999988824129,1097.161228501094911
560_689,16145.000000000000000,14530499.999999988824129,928.583720344551921
362_467,13633.000000000000000,12269699.999999990686774,1201.840012573789181
563_516,12544.000000000000000,11289599.999999990686774,993.625127053991832
21_18,13604.000000000000000,12243599.999999990686774,1087.419860714779816
451_94,17522.000000000000000,15769799.999999988824129,1312.593193332868623
608_364,10728.000000000000000,9655199.999999992549419,752.784445862908797
412_482,15198.000000000000000,13678199.999999988824129,1646.233642834145030
272_229,18140.000000000000000,16325999.999999986961484,720.875037483290271
365_129,17304.000000000000000,15573599.999999988824129,993.528851278501179
204_198,16110.000000000000000,14498999.999999988824129,1321.728754577068230
510_313,17186.000000000000000,15467399.999999988824129,1494.475554789541320
459_493,17657.000000000000000,15891299.999999988824129,1358.689669176171037
317_243,16733.000000000000000,15059699.999999988824129,1102.298662720381799
234_596,17515.000000000000000,15763499.999999988824129,1327.946864707831992
82_33,16505.000000000000000,14854499.999999988824129,2337.342956479635177
275_58,16695.000000000000000,15025499.999999988824129,900.336307662045670
631_537,17941.000000000000000,16146899.999999986961484,1374.369625869971060
605_693,18001.000000000000000,16200899.999999986961484,1414.176395909387338
205_50,14049.000000000000000,12644099.999999990686774,1289.381925938180075
561_107,16687.000000000000000,15018299.999999988824129,1113.718519146692188
85_35,15737.000000000000000,14163299.999999988824129,1369.530652540403480
400_638,16491.000000000000000,14841899.999999988824129,1564.885532126317685
275_59,15394.000000000000000,13854599.999999988824129,966.121546447564015
460_653,17022.000000000000000,15319799.999999988824129,1567.568889884599230
199_199,17564.000000000000000,15807599.999999988824129,1801.569584453165362
355_458,17535.000000000000000,15781499.999999988824129,1338.169546380435122
561_337,16120.000000000000000,14507999.999999988824129,1088.986316857916336
512_314,17644.000000000000000,15879599.999999988824129,1293.342499415799011
408_275,15545.000000000000000,13990499.999999988824129,1462.868074985329486
459_548,17845.000000000000000,16060499.999999986961484,1263.687807894915522
107_401,16180.000000000000000,14561999.999999988824129,2294.669230501910533
112_157,13467.000000000000000,12120299.999999990686774,1111.935057397247647
403_272,18069.000000000000000,16262099.999999986961484,1178.802848033514238
563_677,15632.000000000000000,14068799.999999988824129,1090.558875483158545
321_237,16362.000000000000000,14725799.999999988824129,1132.156960409377461
403_270,18032.000000000000000,16228799.999999986961484,1309.532950139828927
765_148,14050.000000000000000,12644999.999999990686774,1029.845900521602971
756_389,12359.000000000000000,11123099.999999990686774,923.842104508929424
633_706,16075.000000000000000,14467499.999999988824129,1460.933768766646608
646_538,15864.000000000000000,14277599.999999988824129,1651.640066255539750
607_700,13166.000000000000000,11849399.999999990686774,698.022784005214021
509_664,17114.000000000000000,15402599.999999988824129,1255.553845665590416
352_257,14974.000000000000000,13476599.999999990686774,1229.963941749623018
775_160,14559.000000000000000,13103099.999999990686774,760.030235602327139
233_416,16497.000000000000000,14847299.999999988824129,1443.897146599695134
414_93,15767.000000000000000,14190299.999999988824129,1118.776994847582046
235_421,17941.000000000000000,16146899.999999986961484,1542.084553108282080
203_191,16412.000000000000000,14770799.999999988824129,1106.695375640073280
140_166,16678.000000000000000,15010199.999999988824129,1245.953548077787445
356_472,17013.000000000000000,15311699.999999988824129,1369.119792577458611
555_353,16168.000000000000000,14551199.999999988824129,1320.336483199430404
233_424,16716.000000000000000,15044399.999999988824129,1458.915112861238867
316_9,16423.000000000000000,14780699.999999988824129,1308.412795461182213
756_387,13977.000000000000000,12579299.999999990686774,979.525467327242495
317_246,17126.000000000000000,15413399.999999988824129,1072.902681922933198
458_292,17302.000000000000000,15571799.999999988824129,1379.733438905656840
512_12,17955.000000000000000,16159499.999999986961484,1507.724158452500660
402_281,15344.000000000000000,13809599.999999988824129,1225.725904481627822
746_382,16576.000000000000000,14918399.999999988824129,955.418715008435015
553_684,16550.000000000000000,14894999.999999988824129,1302.979249070735477
460_495,13446.000000000000000,12101399.999999990686774,1435.330007863754645
506_510,16683.000000000000000,15014699.999999988824129,1825.726190000971428
