site_ID,Shape_Area
559_346,15030892.826826322823763
312_614,16379992.395303530618548
318_67,16379989.106305662542582
454_302,16379990.070490254089236
630_119,16379991.579731909558177
562_692,15593542.587393799796700
405_89,16379992.179703308269382
745_23,16316089.851326545700431
203_2,16366490.873017761856318
562_682,16364682.528614038601518
137_162,16379987.460999725386500
274_435,16379992.119978580623865
319_245,16370162.913101671263576
271_220,16379989.970775300636888
173_583,15869846.247059287503362
765_147,16368133.974799072369933
111_41,16379993.352841064333916
135_171,16379988.635418653488159
84_154,16379992.112603375688195
140_170,16379990.494274597615004
463_285,16379988.914288662374020
647_374,14752621.823950197547674
407_629,16379992.419066388159990
557_517,16379991.231176411733031
633_707,16379987.917532194405794
268_228,16379991.256970047950745
452_646,16379988.123916849493980
513_325,16379993.419881843030453
411_481,16379995.805446805432439
171_408,16379989.968330744653940
402_84,16379989.072842953726649
311_454,16379993.699685903266072
173_584,16168489.221902843564749
275_219,16379990.932246336713433
201_410,16343087.632864702492952
366_10,13495967.286020617932081
507_318,16379991.723840294405818
632_118,16379991.321648845449090
400_480,15834607.871849955990911
405_279,16379990.719935189932585
199_197,16379993.124946521595120
404_484,16379989.331240158528090
140_121,16379991.258173199370503
407_486,16379989.954003427177668
365_263,16351189.487292159348726
411_487,16379989.989212231710553
506_671,16379990.890039378777146
562_686,16364688.523767739534378
313_609,16379988.551408804953098
109_42,16379988.634769614785910
319_249,16379990.313475798815489
314_64,16379988.319011617451906
82_32,16379989.978797450661659
734_135,16379987.963680930435658
232_212,16379989.179861120879650
238_124,16379990.283937131986022
356_620,16379989.088383160531521
88_29,16350670.245805356651545
354_473,16379991.697817252948880
735_16,16379990.354994971305132
757_28,16379989.162655901163816
278_225,16379991.725073389708996
410_475,16318013.184487951919436
361_474,16374593.735125526785851
504_330,16379981.925685185939074
557_519,16379990.387824259698391
314_235,16379991.892886510118842
169_574,16379992.247520156204700
406_631,16379988.618568647652864
238_3,16379989.308192420750856
451_287,16379990.445924531668425
84_153,16379990.841555066406727
240_589,16158481.994511328637600
645_709,15283358.620513938367367
405_277,16379991.926002120599151
508_326,16379989.826865689828992
107_399,16379991.052450234070420
504_328,16379986.277153255417943
514_312,16379993.879061194136739
139_572,16379989.834263671189547
270_227,16379989.057887881994247
501_104,16379993.128427648916841
