site_ID,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
272_230,2,3.000000000000000,2700.000000000000000,1,1,0,1.000000000000000,0.000000000000000,3.000000000000000,1,1,3,0.0201000,1,3,0.0201000,1,1
136_567,3,759.000000000000000,683100.000000000000000,1,1,0,1.000000000000000,0.000000000000000,759.000000000000000,1,1,759,4.2132001,1,759,4.2132001,1,1
269_602,4,146.000000000000000,131400.000000000000000,1,1,0,1.000000000000000,0.000000000000000,146.000000000000000,1,1,146,1.4366000,1,146,1.4366000,1,1
269_427,5,276.000000000000000,248400.000000000000000,1,1,0,1.000000000000000,0.000000000000000,276.000000000000000,1,1,276,1.8976001,1,276,1.8976001,1,1
633_705,7,476.000000000000000,428400.000000000000000,1,1,0,1.000000000000000,0.000000000000000,476.000000000000000,1,1,476,3.4930999,1,476,3.4930999,1,1
465_500,8,1897.000000000000000,1707300.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1897.000000000000000,1,1,1897,10.4322004,1,1897,10.4322004,1,1
458_298,9,44.000000000000000,39600.000000000000000,1,1,0,1.000000000000000,0.000000000000000,44.000000000000000,1,1,44,0.7756000,1,44,0.7756000,1,1
603_695,10,710.000000000000000,639000.000000000000000,1,1,0,1.000000000000000,0.000000000000000,710.000000000000000,1,1,710,3.9175000,1,710,3.9175000,1,1
515_316,11,951.000000000000000,855900.000000000000000,1,1,0,1.000000000000000,0.000000000000000,951.000000000000000,1,1,951,5.2347999,1,951,5.2347999,1,1
310_443,12,1421.000000000000000,1278900.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1421.000000000000000,1,1,1421,7.8119998,1,1421,7.8119998,1,1
170_175,13,1188.000000000000000,1069200.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1188.000000000000000,1,1,1188,6.6842999,1,1188,6.6842999,1,1
554_110,15,575.000000000000000,517500.000000000000000,1,1,0,1.000000000000000,0.000000000000000,575.000000000000000,1,1,575,3.5813999,1,575,3.5813999,1,1
512_311,16,465.000000000000000,418500.000000000000000,1,1,0,1.000000000000000,0.000000000000000,465.000000000000000,1,1,465,2.7546999,1,465,2.7546999,1,1
609_112,17,1402.000000000000000,1261800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1402.000000000000000,1,1,1402,10.8497000,1,1402,10.8497000,1,1
357_74,18,2.000000000000000,1800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,2.000000000000000,1,1,2,0.0162000,1,2,0.0162000,1,1
242_595,19,791.000000000000000,711900.000000000000000,1,1,0,1.000000000000000,0.000000000000000,791.000000000000000,1,1,791,5.3813000,1,791,5.3813000,1,1
412_635,20,165.000000000000000,148500.000000000000000,1,1,0,1.000000000000000,0.000000000000000,165.000000000000000,1,1,165,0.9529000,1,165,0.9529000,1,1
238_55,21,32.000000000000000,28800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,32.000000000000000,1,1,32,0.5533000,1,32,0.5533000,1,1
505_317,22,484.000000000000000,435600.000000000000000,1,1,0,1.000000000000000,0.000000000000000,484.000000000000000,1,1,484,3.1335001,1,484,3.1335001,1,1
