site_ID,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
136_567,3,759.000000000000000,683100.000000000000000,1,1,0,1.000000000000000,0.000000000000000,759.000000000000000,1,1,759,4.2132001,1,759,4.2132001,1,1
269_602,4,141.000000000000000,126900.000000000000000,1,1,0,1.000000000000000,0.000000000000000,141.000000000000000,1,1,141,1.9638000,1,141,1.9638000,1,1
269_427,5,273.000000000000000,245700.000000000000000,1,1,0,1.000000000000000,0.000000000000000,273.000000000000000,1,1,273,1.9665999,1,273,1.9665999,1,1
633_705,7,463.000000000000000,416700.000000000000000,1,1,0,1.000000000000000,0.000000000000000,463.000000000000000,1,1,463,3.3977001,1,463,3.3977001,1,1
465_500,8,1262.000000000000000,1135800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1262.000000000000000,1,1,1262,6.9401999,1,1262,6.9401999,1,1
458_298,9,43.000000000000000,38700.000000000000000,1,1,0,1.000000000000000,0.000000000000000,43.000000000000000,1,1,43,1.0779999,1,43,1.0779999,1,1
603_695,10,705.000000000000000,634500.000000000000000,1,1,0,1.000000000000000,0.000000000000000,705.000000000000000,1,1,705,3.8899000,1,705,3.8899000,1,1
515_316,11,935.000000000000000,841500.000000000000000,1,1,0,1.000000000000000,0.000000000000000,935.000000000000000,1,1,935,5.1466999,1,935,5.1466999,1,1
310_443,12,1420.000000000000000,1278000.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1420.000000000000000,1,1,1420,7.8065000,1,1420,7.8065000,1,1
170_175,13,1177.000000000000000,1059300.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1177.000000000000000,1,1,1177,6.6223998,1,1177,6.6223998,1,1
554_110,15,514.000000000000000,462600.000000000000000,1,1,0,1.000000000000000,0.000000000000000,514.000000000000000,1,1,514,3.2014999,1,514,3.2014999,1,1
512_311,16,456.000000000000000,410400.000000000000000,1,1,0,1.000000000000000,0.000000000000000,456.000000000000000,1,1,456,2.7014000,1,456,2.7014000,1,1
609_112,17,902.000000000000000,811800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,902.000000000000000,1,1,902,7.0200000,1,902,7.0200000,1,1
242_595,19,734.000000000000000,660600.000000000000000,1,1,0,1.000000000000000,0.000000000000000,734.000000000000000,1,1,734,4.9935002,1,734,4.9935002,1,1
412_635,20,165.000000000000000,148500.000000000000000,1,1,0,1.000000000000000,0.000000000000000,165.000000000000000,1,1,165,0.9529000,1,165,0.9529000,1,1
238_55,21,30.000000000000000,27000.000000000000000,1,1,0,1.000000000000000,0.000000000000000,30.000000000000000,1,1,30,1.2000000,1,30,1.2000000,1,1
505_317,22,478.000000000000000,430200.000000000000000,1,1,0,1.000000000000000,0.000000000000000,478.000000000000000,1,1,478,3.0947001,1,478,3.0947001,1,1
645_710,23,521.000000000000000,468900.000000000000000,1,1,0,1.000000000000000,0.000000000000000,521.000000000000000,1,1,521,3.6271000,1,521,3.6271000,1,1
505_307,25,284.000000000000000,255600.000000000000000,1,1,0,1.000000000000000,0.000000000000000,284.000000000000000,1,1,284,1.7459000,1,284,1.7459000,1,1
39_380,26,975.000000000000000,877500.000000000000000,1,1,0,1.000000000000000,0.000000000000000,975.000000000000000,1,1,975,5.3615999,1,975,5.3615999,1,1
553_518,27,610.000000000000000,549000.000000000000000,1,1,0,1.000000000000000,0.000000000000000,610.000000000000000,1,1,610,3.4389000,1,610,3.4389000,1,1
606_363,28,312.000000000000000,280800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,312.000000000000000,1,1,312,3.4244001,1,312,3.4244001,1,1
235_415,29,642.000000000000000,577800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,642.000000000000000,1,1,642,3.5718000,1,642,3.5718000,1,1
65_142,30,1114.000000000000000,1002600.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1114.000000000000000,1,1,1114,6.1571002,1,1114,6.1571002,1,1
141_122,31,1498.000000000000000,1348200.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1498.000000000000000,1,1,1498,8.2262001,1,1498,8.2262001,1,1
646_539,32,900.000000000000000,810000.000000000000000,1,1,0,1.000000000000000,0.000000000000000,900.000000000000000,1,1,900,4.9527001,1,900,4.9527001,1,1
607_698,33,627.000000000000000,564300.000000000000000,1,1,0,1.000000000000000,0.000000000000000,627.000000000000000,1,1,627,3.4468000,1,627,3.4468000,1,1
556_521,34,1116.000000000000000,1004400.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1116.000000000000000,1,1,1116,6.4717999,1,1116,6.4717999,1,1
414_88,35,706.000000000000000,635400.000000000000000,1,1,0,1.000000000000000,0.000000000000000,706.000000000000000,1,1,706,4.6276999,1,706,4.6276999,1,1
